name,smiles,inchikey,connectivity
ALPHA-NAPHTHOFLAVONE,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,VFMMPHCGEFXGIP-UHFFFAOYSA-N,VFMMPHCGEFXGIP
ALPRAZOLAM,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,VREFGVBLTWBCJP-UHFFFAOYSA-N,VREFGVBLTWBCJP
ALTRETAMINE,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,UUVWYPNAQBNQJQ
AMANTADINE,C1C2CC3CC1CC(C2)(C3)N,DKNWSYNQZKUICI-UHFFFAOYSA-N,DKNWSYNQZKUICI
AMIKACIN,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,LKCWBDHBTVXHDL-RMDFUYIESA-N,LKCWBDHBTVXHDL
AMILORIDE,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,XSDQTOBWRPYKKA-UHFFFAOYSA-N,XSDQTOBWRPYKKA
AMINOCAPROIC ACID,C(CCC(=O)O)CCN,SLXKOJJOQWFEFD-UHFFFAOYSA-N,SLXKOJJOQWFEFD
AMINOGLUTETHIMIDE,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,ROBVIMPUHSLWNV-UHFFFAOYSA-N,ROBVIMPUHSLWNV
AMINOSALICYLIC ACID,C1=CC(=C(C=C1N)O)C(=O)O,WUBBRNOQWQTFEX-UHFFFAOYSA-N,WUBBRNOQWQTFEX
AMIODARONE,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ
AMITRAZ,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,QXAITBQSYVNQDR-UHFFFAOYSA-N,QXAITBQSYVNQDR
AMITRIPTYLINE,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,KRMDCWKBEZIMAB
AMLODIPINE,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,HTIQEAQVCYTUBX-UHFFFAOYSA-N,HTIQEAQVCYTUBX
AMOXAPINE,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,QWGDMFLQWFTERH-UHFFFAOYSA-N,QWGDMFLQWFTERH
AMOXICILLIN,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,LSQZJLSUYDQPKJ
AMPICILLIN,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,AVKUERGKIZMTKX-NJBDSQKTSA-N,AVKUERGKIZMTKX
AMPIROXICAM,CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3,LSNWBKACGXCGAJ-UHFFFAOYSA-N,LSNWBKACGXCGAJ
AMPRENAVIR,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,YMARZQAQMVYCKC-OEMFJLHTSA-N,YMARZQAQMVYCKC
ANASTROZOLE,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,YBBLVLTVTVSKRW-UHFFFAOYSA-N,YBBLVLTVTVSKRW
