sample,title,compound,dose,time,vehicle,tissue,is_control,connectivity,in_cohort,in_labelled,dataset
GSM1393922,S020923-095_STREPTOZOTOCIN_138 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96561.CEL,Streptozotocin,138 mg/kg,5 d,Saline,Liver,False,ZSJLQEPLLKMAKR,True,True,drugmatrix_liver
GSM1393923,S011127-231_CATECHOL_195 mg/kg_ORAL GAVAGE_SALINE_.25 d_Male_96562.CEL,Catechol,195 mg/kg,0.25 d,Saline,Liver,False,YCIMNLLNPGFGHC,True,True,drugmatrix_liver
GSM1393924,S020311-066_DAUNORUBICIN_3.25 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96563.CEL,Daunorubicin,3.25 mg/kg,1 d,Saline,Liver,False,STQGQHZAVUOBTE,True,True,drugmatrix_liver
GSM1393925,S020610-260_BETAMETHASONE_79 mg/kg_SUBCUTANEOUS_CORN OIL_3 d_Male_96564.CEL,Betamethasone,79 mg/kg,3 d,Corn Oil,Liver,False,UREBDLICKHMUKA,True,True,drugmatrix_liver
GSM1393926,S011211-265_PROCARBAZINE_27 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96565.CEL,Procarbazine,27 mg/kg,0.25 d,Water,Liver,False,CPTBDICYNRMXFX,True,True,drugmatrix_liver
GSM1393927,S020610-360_SALICYLIC ACID_223 mg/kg_SUBCUTANEOUS_CORN OIL_5 d_Male_96566.CEL,Salicylic Acid,223 mg/kg,5 d,Corn Oil,Liver,False,YGSDEFSMJLZEOE,True,True,drugmatrix_liver
GSM1393928,S020108-092_MITOMYCIN C_1.7 mg/kg_INTRAVENOUS_SALINE_3 d_Male_96567.CEL,Mitomycin C,1.7 mg/kg,3 d,Saline,Liver,False,NWIBSHFKIJFRCO,True,True,drugmatrix_liver
GSM1393929,S020923-096_STREPTOZOTOCIN_138 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96568.CEL,Streptozotocin,138 mg/kg,5 d,Saline,Liver,False,ZSJLQEPLLKMAKR,True,True,drugmatrix_liver
GSM1393930,S020923-088_STREPTOZOTOCIN_138 mg/kg_INTRAVENOUS_SALINE_1 d_Male_96569.CEL,Streptozotocin,138 mg/kg,1 d,Saline,Liver,False,ZSJLQEPLLKMAKR,True,True,drugmatrix_liver
GSM1393931,S020108-084_MITOMYCIN C_0.5 mg/kg_INTRAVENOUS_SALINE_5 d_Male_96570.CEL,Mitomycin C,0.5 mg/kg,5 d,Saline,Liver,False,NWIBSHFKIJFRCO,True,True,drugmatrix_liver
GSM1393932,S020115-219_PHENOBARBITAL_25 mg/kg_ORAL GAVAGE_WATER_.25 d_Male_96571.CEL,Phenobarbital,25 mg/kg,0.25 d,Water,Liver,False,DDBREPKUVSBGFI,True,True,drugmatrix_liver
